project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
gerrit,AW9msuR000a1E-sk9R2u,AW9msuR000a1E-sk9R2u,AW9msUP600a1E-sk89_3,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-08-19 21:40:44,2011-08-23 13:58:07,2011-08-23 13:58:07,Make createdOn a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/ChangeAttribute.java,31.0,31.0,16.0,25.0,feea50e82b0c06a316dfbf33d48228de,False
gerrit,AW9msTmz00a1E-sk89_2,AW9mrTV000a1E-sk8NLw,AW9mrT2d00a1E-sk8NMD,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,CLOSED,FIXED,5,5,"clumsy,error-handling,redundant,unused",2011-08-10 15:09:27,2011-08-19 15:40:37,2011-08-19 15:40:37,Remove the declaration of thrown exception 'java.io.FileNotFoundException' which is a subclass of 'java.io.IOException'.,gerrit:gerrit-server/src/test/java/com/google/gerrit/server/schema/SchemaUpdaterTest.java,60.0,60.0,48.0,69.0,949e8569df9039be10c642ccb0779a56,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTrP00a1E-sk8NL7,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 19:37:21,2011-08-23 13:58:07,2011-08-23 13:58:07,Make createdOn a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetAttribute.java,24.0,24.0,16.0,25.0,feea50e82b0c06a316dfbf33d48228de,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTsC00a1E-sk8NMB,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make comments a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/ChangeAttribute.java,36.0,36.0,34.0,42.0,574de46df991ad9a44b9c16cf48c9945,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTrn00a1E-sk8NL-,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make reviewer a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/MessageAttribute.java,19.0,19.0,28.0,36.0,b9525169d6bbc8e2751f500ca3d85870,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTrn00a1E-sk8NL9,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make timestamp a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/MessageAttribute.java,18.0,18.0,16.0,25.0,d2636c3eabbf79242968f5680fa63916,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTrn00a1E-sk8NL_,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make message a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/MessageAttribute.java,20.0,20.0,18.0,25.0,b2bdc889f4333ff4646907e5b34d839c,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTrn00a1E-sk8NMA,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,CLOSED,FIXED,5,5,unused,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,This block of commented-out lines of code should be removed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/MessageAttribute.java,3.0,3.0,0.0,66.0,9c855f2083a99d0b36a9c7e896c72938,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTrP00a1E-sk8NL8,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make comments a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetAttribute.java,27.0,27.0,42.0,50.0,3796c20eae6e6c02bf2e2c158cc7fb3d,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTq-00a1E-sk8NL2,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make file a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetCommentAttribute.java,18.0,18.0,18.0,22.0,636a1c7da5967ec329c9892d0f231c1b,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTq-00a1E-sk8NL3,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make line a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetCommentAttribute.java,19.0,19.0,19.0,23.0,3b8a8b4383fcd1e829fb4d0ba41c58be,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTq-00a1E-sk8NL4,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make reviewer a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetCommentAttribute.java,20.0,20.0,28.0,36.0,b9525169d6bbc8e2751f500ca3d85870,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTq-00a1E-sk8NL5,VULNERABILITY,squid:ClassVariableVisibilityCheck,MINOR,CLOSED,FIXED,10,10,cwe,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Make message a static final constant or non-public and provide accessors if needed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetCommentAttribute.java,21.0,21.0,18.0,25.0,b2bdc889f4333ff4646907e5b34d839c,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTq-00a1E-sk8NL6,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,CLOSED,FIXED,5,5,unused,2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,This block of commented-out lines of code should be removed.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/events/PatchSetCommentAttribute.java,3.0,3.0,0.0,66.0,9c855f2083a99d0b36a9c7e896c72938,False
gerrit,AW9msuR000a1E-sk9R2u,AW9mrTV000a1E-sk8NLw,AW9mrTt100a1E-sk8NMC,CODE_SMELL,squid:S3457,MAJOR,CLOSED,FIXED,10,10,"cert,confusing",2011-07-29 06:02:43,2011-08-23 13:58:07,2011-08-23 13:58:07,Format specifiers should be used instead of string concatenation.,gerrit:gerrit-server/src/main/java/com/google/gerrit/server/query/change/QueryProcessor.java,296.0,296.0,13.0,51.0,35c50c1e81ed50b7251ab7925ae0d96f,False
gerrit,AW9mrTV000a1E-sk8NLw,AW9mrTV000a1E-sk8NLw,AW9mrBxR00a1E-sk773t,CODE_SMELL,squid:S135,MINOR,CLOSED,FIXED,20,20,brain-overload,2011-07-15 19:42:07,2011-08-10 17:09:27,2011-08-10 17:09:27,Reduce the total number of break and continue statements in this loop to use at most one.,gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_edits_2.java,99.0,99.0,6.0,9.0,2d34972f5221087cfc31170f1cd86d6b,False
gerrit,AW9mrTV000a1E-sk8NLw,AW9mrTV000a1E-sk8NLw,AW9mrBxR00a1E-sk773u,CODE_SMELL,squid:S00101,MINOR,CLOSED,FIXED,5,5,convention,2011-07-15 19:42:07,2011-08-10 17:09:27,2011-08-10 17:09:27,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_edits_2.java,59.0,59.0,13.0,32.0,0ff52c8e01b497c5b9cfd45d67110e70,False
gerrit,AW9mrTV000a1E-sk8NLw,AW9mrTV000a1E-sk8NLw,AW9mrBxR00a1E-sk773v,CODE_SMELL,squid:UselessImportCheck,MINOR,CLOSED,FIXED,2,2,unused,2011-07-15 19:42:07,2011-08-10 17:09:27,2011-08-10 17:09:27,Remove this unused import 'com.googlecode.prolog_cafe.lang.SystemException'.,gerrit:gerrit-server/src/main/java/gerrit/PRED_commit_edits_2.java,31.0,31.0,0.0,55.0,d28dbffcc94a9c20fe7d9dca4e156587,False
