projectID,gitLink,jiraLink,sonarProjectKey
accumulo,https://github.com/apache/accumulo,https://issues.apache.org/jira/projects/ACCUMULO,org:apache:accumulo
ambari,https://github.com/apache/ambari,https://issues.apache.org/jira/projects/AMBARI,org.apache:ambari
atlas,https://github.com/apache/atlas,https://issues.apache.org/jira/projects/ATLAS,org.apache:atlas
aurora,https://github.com/apache/aurora,https://issues.apache.org/jira/projects/AURORA,org.apache:aurora
batik,https://github.com/apache/batik,https://issues.apache.org/jira/projects/BATIK,org.apache:batik
commons-bcel,https://github.com/apache/commons-bcel,https://issues.apache.org/jira/projects/BCEL,org.apache:bcel
beam,https://github.com/apache/beam,https://issues.apache.org/jira/projects/BEAM,org.apache:beam
commons-beanutils,https://github.com/apache/commons-beanutils,https://issues.apache.org/jira/projects/BEANUTILS,org.apache:beanutils
cocoon,https://github.com/apache/cocoon,https://issues.apache.org/jira/projects/COCOON,org.apache:cocoon
commons-codec,https://github.com/apache/commons-codec,https://issues.apache.org/jira/projects/CODEC,org.apache:codec
commons-collections,https://github.com/apache/commons-collections,https://issues.apache.org/jira/projects/COLLECTIONS,org.apache:collections
commons-cli,https://github.com/apache/commons-cli,https://issues.apache.org/jira/projects/CLI,org.apache:commons-cli
commons-exec,https://github.com/apache/commons-exec,https://issues.apache.org/jira/projects/EXEC,org.apache:commons-exec
commons-fileupload,https://github.com/apache/commons-fileupload,https://issues.apache.org/jira/projects/FILEUPLOAD,org.apache:commons-fileupload
commons-io,https://github.com/apache/commons-io,https://issues.apache.org/jira/projects/IO/,org.apache:commons-io
commons-jelly,https://github.com/apache/commons-jelly,https://issues.apache.org/jira/projects/JELLY,org.apache:commons-jelly
commons-jexl,https://github.com/apache/commons-jexl,https://issues.apache.org/jira/projects/JEXL,org.apache:commons-jexl
commons-configuration,https://github.com/apache/commons-configuration,https://issues.apache.org/jira/projects/CONFIGURATION,org.apache:configuration
commons-daemon,https://github.com/apache/commons-daemon,https://issues.apache.org/jira/projects/DAEMON,org.apache:daemon
commons-dbcp,https://github.com/apache/commons-dbcp,https://issues.apache.org/jira/projects/DBCP,org.apache:dbcp
commons-dbutils,https://github.com/apache/commons-dbutils,https://issues.apache.org/jira/projects/DBUTILS,org.apache:dbutils
commons-digester,https://github.com/apache/commons-digester,https://issues.apache.org/jira/projects/DIGESTER,org.apache:digester
felix,https://github.com/apache/felix,https://issues.apache.org/jira/projects/FELIX,org.apache:felix
httpcomponents-client,https://github.com/apache/httpcomponents-client,https://issues.apache.org/jira/projects/HTTPCLIENT,org.apache:httpclient
httpcomponents-core,https://github.com/apache/httpcomponents-core,https://issues.apache.org/jira/projects/HTTPCORE,org.apache:httpcore
commons-jxpath,https://github.com/apache/commons-jxpath,https://issues.apache.org/jira/projects/JXPATH,org.apache:jxpath
commons-net,https://github.com/apache/commons-net,https://issues.apache.org/jira/projects/NET,org.apache:net
commons-ognl,https://github.com/apache/commons-ognl,https://issues.apache.org/jira/projects/OGNL,org.apache:ognl
santuario,https://github.com/apache/santuario-java,https://issues.apache.org/jira/projects/SANTUARIO,org.apache:santuario
mina-sshd,https://github.com/apache/mina-sshd,https://issues.apache.org/jira/projects/SSHD,org.apache:sshd
commons-validator,https://github.com/apache/commons-validator,https://issues.apache.org/jira/projects/VALIDATOR,org.apache:validator
commons-vfs,https://github.com/apache/commons-vfs,https://issues.apache.org/jira/projects/VFS,org.apache:vfs
zookeeper,https://github.com/apache/zookeeper.git,https://issues.apache.org/jira/projects/ZOOKEEPER/,org.apache:zookeeper
airavata,https://github.com/apache/airavata,,org.apache:airavata
apex,https://github.com/apache/attic-apex-core,,org.apache:apex
archiva,https://github.com/apache/archiva,,org.apache:archiva
cayenne,https://github.com/apache/cayenne,Apache_Cayenne,Apache_Cayenne
hive,https://github.com/apache/hive,,org.apache:hive
Lucene-core,https://github.com/apache/lucene-solr,,org.apache:lucene-core
samza,https://github.com/apache/samza,,org.apache:samza
sqoop,https://github.com/apache/sqoop,,org.apache:sqoop
syncope,https://github.com/apache/syncope,,org.apache:syncope
tajo,https://github.com/apache/tajo,,org.apache:tajo
tez,https://github.com/apache/tez,,org.apache:tez
thrift,https://github.com/apache/thrift,,org.apache:thrift
vxquery,https://github.com/apache/vxquery,,org.apache:vxquery
whimsy,https://github.com/apache/whimsy,,org.apache:whimsy
yetus,https://github.com/apache/yetus,,org:apache:yetus
zeppelin,https://github.com/apache/zeppelin,,org.apache:zeppelin
bsf,https://github.com/apache/commons-bsf,,org:apache:bsf
el,https://github.com/apache/commons-el,,org:apache:commons:el
email,https://github.com/apache/commons-email,,org:apache:commons:email
